veri_seti,model,senaryo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
BATADAL,automata,gurultu,0.7823458282950423,,0.12686567164179105,,0.2125,,0.1588785046728972,,0.5703396921017402,,0.12582072294521102,
BATADAL,automata,orijinal,0.7823458282950423,,0.08333333333333333,,0.125,,0.1,,0.5139223560910307,,0.10428267963922709,
BATADAL,automata,unseen,0.6505441354292624,,0.08032128514056225,,0.25,,0.12158054711246201,,0.45910307898259706,,0.09058046978254747,
BATADAL,cnn1d,gurultu,0.8921933085501859,0.005257299488375825,0.0,0.0,0.0,0.0,0.0,0.0,0.050964187327823686,0.008801785818494409,0.055716688653783965,0.0005593724030626846
BATADAL,cnn1d,orijinal,0.8877323420074349,0.009622437996687563,0.0,0.0,0.0,0.0,0.0,0.0,0.05068870523415977,0.007360841422850278,0.0556633670301935,0.0004660712647341118
BATADAL,cnn1d,unseen,0.8795539033457249,0.0173570520891134,0.0,0.0,0.0,0.0,0.0,0.0,0.05068870523415977,0.007319357181083092,0.05566474634803733,0.0004599485360858844
BATADAL,gru,gurultu,0.8810408921933085,0.0172372090994344,0.04871794871794872,0.07387107841480992,0.02222222222222222,0.03312693299999688,0.030512820512820515,0.04572809327028011,0.759657177838996,0.10079930421260812,0.20454718040602143,0.08612893109486836
BATADAL,gru,orijinal,0.8773234200743495,0.02521312261384858,0.0652014652014652,0.10132691810707754,0.037037037037037035,0.05237828008789241,0.04666666666666667,0.06810938913900849,0.7623813896541168,0.09378746719641155,0.2060216580781861,0.08640503052908534
BATADAL,gru,unseen,0.8565055762081784,0.03362206410288478,0.06596638655462185,0.07826299954424565,0.04444444444444444,0.04829038818668628,0.05272727272727272,0.059751551727836305,0.7340373431282522,0.08824697855254622,0.18064621021658667,0.06542813752284433
BATADAL,lstm,gurultu,0.8929368029739777,0.009256430927872672,0.075,0.16770509831248423,0.04444444444444444,0.09938079899999065,0.05581395348837209,0.12480379409301151,0.7820936639118458,0.16912025776696293,0.3498593403079034,0.3109495785611257
BATADAL,lstm,orijinal,0.8921933085501859,0.00871824490673503,0.06153846153846154,0.1376041832307563,0.029629629629629627,0.06625386599999376,0.04,0.0894427190999916,0.7872359963269054,0.16720064173240962,0.3548542784019838,0.31597321304714887
BATADAL,lstm,unseen,0.8765799256505578,0.030924363335442996,0.00909090909090909,0.020327890704543543,0.007407407407407407,0.01656346649999844,0.008163265306122448,0.018253616142855426,0.7492500765228037,0.1336449506917116,0.23121853789261443,0.16005296705615815
SKAB,automata,gurultu,0.36939922647305484,0.02472696151416339,0.35579836712217344,0.007440659889075366,0.9809018607644149,0.037535901446948385,0.5219880664184691,0.008451869753943072,0.43353377436422547,0.052787572639688765,0.3272207523453984,0.026129387811227853
SKAB,automata,orijinal,0.37199463063394517,0.02876643924247055,0.3558153237445048,0.007424443215927642,0.9715578204389151,0.05314128711034806,0.5205235767936468,0.009785252422425034,0.43841628167759045,0.051203614285820265,0.34091938320363113,0.030945517142471318
SKAB,automata,unseen,0.3775244713564155,0.03265168805468704,0.35333282538247734,0.00790295937971555,0.9324397061386456,0.1031484703152406,0.511528725645911,0.021497178587367143,0.4605534247052473,0.05445775467215681,0.3428169880464293,0.021849939707647027
SKAB,cnn1d,gurultu,0.8996580476853971,0.052330455480202646,0.8896861848763105,0.11742001020981226,0.8486381044253296,0.06642403860739193,0.861708031549496,0.05968979544368602,0.9287623165183223,0.02871565462460295,0.9283061176008574,0.026456355565238274
SKAB,cnn1d,orijinal,0.9214551385004573,0.031123573916532164,0.9498553216425261,0.06163667986126521,0.8313823379653094,0.08653706035825119,0.8823013343541442,0.048948852316151654,0.9332332193962621,0.03322650073401192,0.9329981680465282,0.030122294604360764
SKAB,cnn1d,unseen,0.9202777971581962,0.03175723131030876,0.9605308587539574,0.05211162251165571,0.8160335166118594,0.09143173134655472,0.8781099460763033,0.05234766502750518,0.9319659985562052,0.03508440494255385,0.9316333298207526,0.031464121638290245
SKAB,gru,gurultu,0.9001265952974643,0.05128412203429203,0.8961127893315037,0.11339052146394368,0.8392542324243821,0.08808004644072492,0.8593285292819324,0.06621797550058142,0.9285060149841745,0.044312984230494276,0.9282770463999864,0.04094383777596978
SKAB,gru,orijinal,0.9159337049947699,0.03658445114184058,0.9439859993580115,0.07789214367585169,0.8247076119914888,0.09732069497227482,0.8741525437955601,0.05694605213680151,0.9311742562730112,0.051406336994353236,0.9325795248240971,0.04667802971299894
SKAB,gru,unseen,0.9214997255483507,0.03580548644462073,0.9741477869975984,0.038523216225641456,0.8057702304493922,0.10340098001138719,0.8773325767383284,0.06230773411216097,0.9310212030738011,0.046942939234534846,0.9330282015724939,0.04239568608760078
SKAB,lstm,gurultu,0.9009594026976192,0.048730821652651524,0.9045004187192809,0.11271087376617214,0.8338332259122732,0.0889189855251625,0.8594009803715447,0.061940516660709155,0.9259005656834306,0.04541439571205605,0.9254439751347667,0.03727112072920287
SKAB,lstm,orijinal,0.9157102774295407,0.03619425641490388,0.9404409168371514,0.08026260412890308,0.8282043922334923,0.09286441121696778,0.8747220799076665,0.05512411778554624,0.9310672806085738,0.04880851140986601,0.933258436690733,0.04023301746244218
SKAB,lstm,unseen,0.9146198731852399,0.041106873971140774,0.9577576063053265,0.06303067291697856,0.8048927523191068,0.11803059977415602,0.8672754619587084,0.07501205734587235,0.9346246147662365,0.03631111636775035,0.93438296617738,0.033248674995306954
