veri_seti,model,senaryo,fold,seed,accuracy,precision,recall,f1,n,pozitif,roc_auc,pr_auc
SKAB,automata,orijinal,0,-1,0.4380146895170265,0.36089164785553046,0.8310591293047433,0.5032461144993114,4493,1539,0.528429749993731,0.3709676968464195
SKAB,automata,gurultu,0,-1,0.43979523703538836,0.3681940700808625,0.8875893437296946,0.5204800914459897,4493,1539,0.5128310287743231,0.3371332725956403
SKAB,automata,unseen,0,-1,0.45693300689962163,0.36467407629918897,0.7888239116309291,0.4987674609695974,4493,1539,0.4619908336753768,0.31169478321903665
SKAB,lstm,orijinal,0,42,0.912747102931152,0.8339100346020761,0.9377431906614786,0.8827838827838828,1467,514,0.9553927592978961,0.9576387898235211
SKAB,lstm,gurultu,0,42,0.9032038173142468,0.8131313131313131,0.9396887159533074,0.871841155234657,1467,514,0.9549324067760625,0.9557194066248059
SKAB,lstm,unseen,0,42,0.9113837764144512,0.8310344827586207,0.9377431906614786,0.8811700182815356,1467,514,0.9559531440750283,0.9587541251104581
SKAB,gru,orijinal,0,42,0.9079754601226994,0.8239316239316239,0.9377431906614786,0.8771610555050046,1467,514,0.9570045034929631,0.9568435448790708
SKAB,gru,gurultu,0,42,0.874573960463531,0.7578125,0.943579766536965,0.8405545927209706,1467,514,0.9568595587965101,0.9545608885733567
SKAB,gru,unseen,0,42,0.9338786639400136,0.8853974121996303,0.9319066147859922,0.9080568720379147,1467,514,0.956526798437047,0.95975355106226
SKAB,cnn1d,orijinal,0,42,0.9359236537150648,0.8917910447761194,0.9299610894941635,0.9104761904761904,1467,514,0.95596130997342,0.9499753743568538
SKAB,cnn1d,gurultu,0,42,0.9004771642808452,0.811864406779661,0.9319066147859922,0.8677536231884058,1467,514,0.9505656926110868,0.942291978520623
SKAB,cnn1d,unseen,0,42,0.9495569188820723,0.9313725490196079,0.9241245136186771,0.927734375,1467,514,0.9567115518881599,0.9488162962597418
SKAB,lstm,orijinal,0,123,0.9032038173142468,0.8152542372881356,0.9357976653696498,0.8713768115942029,1467,514,0.9551283883374639,0.9574987124648956
