veri_seti,model,egitim_suresi_sn,cikarim_suresi_sn
BATADAL,automata,0.22246582500520162,0.005290779001370538
BATADAL,cnn1d,0.48180930340022315,0.005512160000216681
BATADAL,gru,1.270155717599846,0.006214314000681042
BATADAL,lstm,0.5951758609997342,0.005584355999599211
SKAB,automata,0.28716419160045914,0.031743684798129834
SKAB,cnn1d,1.7846228591992985,0.00917780896066688
SKAB,gru,7.426409252640733,0.02940058440057328
SKAB,lstm,2.476298636960564,0.01173245703947032
